Feature,Overall,15_33,Q1,34_45,Q2,45_56,Q3,57_85,Q4,age_group_p_value,age_group_p_value_corrected,age_group_p_value_starred
F0semitoneFrom27.5Hz_sma3nz_amean,0.21 (0.41),0.3477488662380916,0.35 (0.37),0.2019338482700667,0.20 (0.39),0.1389405201703609,0.14 (0.41),0.1003123816150301,0.10 (0.42),2.127841664240979e-43,1.38e-41,***
loudness_sma3_amean,0.09 (0.78),0.1155598928793936,0.12 (0.79),0.1691867249889223,0.17 (0.80),0.0662757544087169,0.07 (0.79),0.0319704295687718,0.03 (0.73),1.1862584713104751e-05,0.000498,**
loudness_sma3_stddevNorm,-0.08 (0.78),-0.205018359704292,-0.21 (0.74),-0.1015918112887466,-0.10 (0.75),-0.054093895309299,-0.05 (0.80),0.0840460171192804,0.08 (0.82),5.114879213250297e-13,3.07e-11,***
spectralFlux_sma3_amean,0.08 (0.80),0.0764982166544902,0.08 (0.80),0.1861347803532223,0.19 (0.83),0.0542071696413025,0.05 (0.78),-0.0019572104778505,-0.00 (0.78),7.827087715014984e-05,0.0029,*
spectralFlux_sma3_stddevNorm,-0.04 (0.84),-0.1418440244334024,-0.14 (0.80),-0.1307922760088314,-0.13 (0.74),-0.0118127265362061,-0.01 (0.90),0.149247358860237,0.15 (0.89),5.3983913949795954e-11,2.97e-09,***
mfcc1_sma3_amean,-0.05 (0.75),0.0086484289044708,0.01 (0.73),-0.0085201110257836,-0.01 (0.72),-0.127683363587028,-0.13 (0.78),-0.0857395970762573,-0.09 (0.76),0.0001622849172957,0.00536,*
mfcc2_sma3_amean,0.10 (0.72),0.0496682253105645,0.05 (0.71),0.0064166309833839,0.01 (0.75),0.1272420451591744,0.13 (0.72),0.1715617768860342,0.17 (0.70),1.8343687275006625e-06,8.25e-05,***
mfcc2_sma3_stddevNorm,0.00 (40.90),0.0612937962777434,0.06 (24.41),0.0356154396971975,0.04 (76.99),-0.0285655578925667,-0.03 (8.29),-0.0632695222150541,-0.06 (6.35),3.2371879658501137e-05,0.00126,*
mfcc4_sma3_amean,-0.09 (0.72),-0.1891876343793497,-0.19 (0.69),-0.1274343820679643,-0.13 (0.73),-0.068493070805169,-0.07 (0.72),0.0172237063596301,0.02 (0.73),1.235648179145214e-07,5.93e-06,***
jitterLocal_sma3nz_stddevNorm,0.08 (0.68),0.219025559288605,0.22 (0.71),0.1066920704506393,0.11 (0.68),0.0003944949348337,0.00 (0.66),-0.0275731037738944,-0.03 (0.65),6.94991729427954e-13,4.1e-11,***
shimmerLocaldB_sma3nz_amean,-0.18 (0.62),-0.2566602875239217,-0.26 (0.60),-0.1292720152299427,-0.13 (0.60),-0.1338834562703728,-0.13 (0.63),-0.1796918261556518,-0.18 (0.64),2.198066043327805e-06,9.67e-05,***
shimmerLocaldB_sma3nz_stddevNorm,0.14 (0.73),0.3157162819660956,0.32 (0.76),0.2060479450368832,0.21 (0.73),0.0474935475064166,0.05 (0.69),0.0118027680125709,0.01 (0.70),6.784584280166091e-17,4.27e-15,***
HNRdBACF_sma3nz_amean,0.23 (0.42),0.3710628339585164,0.37 (0.40),0.1975312931384839,0.20 (0.41),0.1747072910272936,0.17 (0.42),0.144332392569357,0.14 (0.43),2.9391757422687767e-35,1.88e-33,***
logRelF0-H1-H2_sma3nz_amean,0.21 (0.66),0.3188280264470424,0.32 (0.67),0.1894001798212297,0.19 (0.66),0.1378387887591016,0.14 (0.64),0.1951032649754044,0.20 (0.65),2.9812097172057096e-11,1.67e-09,***
F1frequency_sma3nz_stddevNorm,-0.24 (0.60),-0.2899497081536701,-0.29 (0.62),-0.2347261255870654,-0.23 (0.62),-0.2528080650643675,-0.25 (0.58),-0.1834418226923013,-0.18 (0.59),0.0001278846272265,0.00448,*
F1amplitudeLogRelF0_sma3nz_amean,0.12 (0.69),0.2270781370473662,0.23 (0.64),0.1709857902595706,0.17 (0.70),0.048375961895119,0.05 (0.71),0.0316573902624663,0.03 (0.71),1.4756800615509592e-11,8.41e-10,***
F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.08 (0.75),-0.1545431365070226,-0.15 (0.69),-0.1266185547049615,-0.13 (0.78),-0.0062719771804987,-0.01 (0.77),-0.0012836763012262,-0.00 (0.75),9.519543849696935e-09,5.1e-07,***
F2frequency_sma3nz_amean,0.15 (0.65),0.2337450700747024,0.23 (0.68),0.1257923836056321,0.13 (0.63),0.120847417128836,0.12 (0.64),0.0981045823165022,0.10 (0.64),7.118359355566997e-05,0.0027,*
F2frequency_sma3nz_stddevNorm,-0.25 (0.52),-0.3550991775305841,-0.36 (0.52),-0.2534230196967549,-0.25 (0.54),-0.208968783949742,-0.21 (0.50),-0.1545515903240277,-0.15 (0.52),2.345464991135526e-16,1.45e-14,***
F2amplitudeLogRelF0_sma3nz_amean,0.13 (0.70),0.2370867905364804,0.24 (0.65),0.1643429295184109,0.16 (0.71),0.0643984672581004,0.06 (0.71),0.0076304259315,0.01 (0.70),1.4193134954735434e-13,8.66e-12,***
F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.05 (0.74),-0.1432264680846365,-0.14 (0.69),-0.0742632149909781,-0.07 (0.78),-0.0064734228947974,-0.01 (0.75),0.0114470251007194,0.01 (0.72),3.4878650781684354e-08,1.78e-06,***
F3frequency_sma3nz_amean,0.19 (0.64),0.2990997234178421,0.30 (0.65),0.155391079976879,0.16 (0.64),0.1540003588041672,0.15 (0.64),0.1676325504491441,0.17 (0.62),1.685003629840049e-05,0.000691,**
F3frequency_sma3nz_stddevNorm,-0.24 (0.48),-0.2931613526641598,-0.29 (0.48),-0.2478164983533482,-0.25 (0.49),-0.2355069772076648,-0.24 (0.47),-0.1801858448263991,-0.18 (0.49),3.137227084271105e-05,0.00125,*
F3amplitudeLogRelF0_sma3nz_amean,0.12 (0.69),0.2287515670612698,0.23 (0.64),0.1485369543162047,0.15 (0.71),0.0621165353052969,0.06 (0.71),0.0070695243170854,0.01 (0.70),2.258081974318005e-12,1.31e-10,***
F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.05 (0.75),-0.1042957626062701,-0.10 (0.69),-0.0831357525748867,-0.08 (0.80),0.0106674711070344,0.01 (0.77),0.0154891383267107,0.02 (0.74),4.778464808772644e-06,0.000205,**
alphaRatioV_sma3nz_stddevNorm,0.03 (10.20),-0.0065096083661034,-0.01 (5.40),-0.0565686367489062,-0.06 (2.76),0.0528271134782422,0.05 (4.03),0.1257062087499527,0.13 (19.89),0.0001047015674448,0.00377,*
hammarbergIndexV_sma3nz_stddevNorm,-0.01 (0.75),0.0541928465505796,0.05 (0.71),0.0479897300493813,0.05 (0.72),-0.0527003834842441,-0.05 (0.79),-0.1291198140981604,-0.13 (0.76),1.1300460051687704e-07,5.54e-06,***
slopeV0-500_sma3nz_amean,0.16 (0.65),0.2237484024584888,0.22 (0.60),0.2062642827258083,0.21 (0.64),0.1028154030391538,0.10 (0.68),0.0690719202174291,0.07 (0.67),9.447263286450371e-09,5.1e-07,***
slopeV0-500_sma3nz_stddevNorm,-0.09 (11.66),-0.1213188255129057,-0.12 (8.94),-0.1439481472653931,-0.14 (10.82),-0.0748148626663507,-0.07 (9.49),-0.0337657534385599,-0.03 (16.52),1.72291676352078e-06,7.93e-05,***
mfcc2V_sma3nz_amean,0.07 (0.70),0.017082630490841,0.02 (0.69),-0.0117994071221419,-0.01 (0.73),0.104699795332184,0.10 (0.70),0.1920220739948621,0.19 (0.68),4.871582728306173e-08,2.44e-06,***
mfcc4V_sma3nz_amean,-0.13 (0.70),-0.2276324414349652,-0.23 (0.68),-0.1376668054230979,-0.14 (0.70),-0.1061879934440375,-0.11 (0.70),-0.0382973073143922,-0.04 (0.70),2.0849073916664472e-08,1.08e-06,***
hammarbergIndexUV_sma3nz_amean,-0.07 (0.83),-0.1473120556553801,-0.15 (0.81),-0.0878903148054148,-0.09 (0.83),-0.0513197599643744,-0.05 (0.84),0.0023557466235259,0.00 (0.84),0.0001366203943186,0.00465,*
slopeUV0-500_sma3nz_amean,0.09 (0.74),0.139656694321124,0.14 (0.70),0.157835937680121,0.16 (0.73),0.0572225487334166,0.06 (0.77),0.0165311093937527,0.02 (0.75),0.0002297548409948,0.00735,*
spectralFluxUV_sma3nz_amean,-0.05 (0.81),-0.014871228732034,-0.01 (0.83),0.0603044996600894,0.06 (0.83),-0.0804027594993284,-0.08 (0.78),-0.1668048105082791,-0.17 (0.80),4.6950742729808006e-07,2.21e-05,***
