Feature,15_33,34_45,45_56,57_85
global avg avg NAQ,0.4925237463322264,0.3811861085159095,0.2424830813361223,0.1634381055534665
global avg std NAQ,0.3065371960084006,0.1833432189333437,0.1905713071754998,0.196074963026115
global avg avg QOQ,0.2359257718143719,0.0776708454607,0.0260401914746942,-0.0168374543896835
global avg std QOQ,-0.1214708947757096,-0.1109579048435467,-0.0373113692252522,0.0433366036741633
global avg avg H1H2,-0.2981189397018885,-0.2991097493318756,-0.2058927336497258,-0.1676585768319151
global avg std H1H2,-0.3076353416080301,-0.3077056360531214,-0.2733234532349479,-0.1288115084102196
global std avg NAQ,0.2921934777163307,0.1352499803651661,0.1865716751699196,0.3057024153335455
global std std NAQ,0.1969044467372251,0.0989551099635878,0.1442905400183236,0.2004583133291625
global std avg QOQ,0.038721493936221,-0.0622051584614595,0.0214861045855669,0.1327733502531889
global std avg H1H2,0.0692647813704825,-0.0555045123768661,0.0236477918429563,0.1515395895663118
global std std H1H2,-0.0383225927405547,-0.0345370776696821,0.0380858176637906,0.2067955479688615
