Feature,15_33,34_45,45_56,57_85
avg BBEon_22,0.0633855633535732,0.0088983671880176,0.1371562316000505,0.1739745075979459
avg MFCCon_1,0.0162293092262958,-0.0689423653192242,-0.1421132233952063,-0.1713157017061078
avg MFCCon_2,0.0911496934627032,0.0435062190254425,0.1718766182146418,0.2188327290275091
avg MFCCon_6,-0.0579306871212526,-0.0777933512006216,0.0431122516021212,0.0645364558259067
avg MFCCon_7,0.1452458676380502,0.1920821867080207,0.0613585262869489,0.0028218183582648
avg DMFCCon_5,-0.1889673663377888,-0.0773525569253859,-0.0015509962055413,9.340513392324528e-16
avg DMFCCon_6,0.1636063431813395,0.0804151418100355,0.0069366378377653,-0.0734329020992082
avg DMFCCon_9,0.1977298208703799,0.0850561565918545,0.0261101223753267,-0.0804178519261339
avg DMFCCon_10,-0.0455618608180985,0.0222884053527166,0.0607867133353564,0.1185497854825577
avg DMFCCon_11,0.0705560520915063,-0.0118937200963212,-0.0350253974245688,-0.0118937200963205
avg DDMFCCon_1,-0.2127525112967467,-0.1700576881113302,-0.0784802286353792,-0.027261739985481
avg DDMFCCon_2,0.0761163982532817,0.0106207396847149,-0.0434500748383802,-0.0853095379442343
avg DDMFCCon_5,0.0652481319508291,-0.0155656549537209,-0.0742794929918815,-0.0862666734790602
avg DDMFCCon_12,-0.1039805190992959,0.0016701849787131,0.00060607565521,0.0861282743705671
avg BBEoff_1,-0.3445862791520784,-0.1838685860497544,-0.1469523481521047,-0.1285946195953384
avg BBEoff_5,0.0777514470969354,0.0923455452991551,-0.0176268529636122,-0.0191937580884744
avg BBEoff_21,0.0521680848003142,0.063178535661912,0.1948778884294473,0.2203627331710843
avg MFCCoff_1,-0.0676527127681295,-0.0904555071187511,-0.2049362049455939,-0.187875350638429
avg MFCCoff_6,-0.1009111438927492,-0.0712275316665432,0.129930155861391,0.0675583820984856
avg DF1,-0.1181178376319516,-0.0360511974876293,0.0572514325205799,0.0729514785297284
avg DF2,-0.2050784770949039,-0.0609305752224817,0.0628819895554821,0.2079729655649286
std MFCCon_3,0.2396432477554501,0.2604581634340396,0.1900703236035043,0.0606683731897076
std MFCCon_4,0.1786529702068268,0.1507512189894577,0.0359882017169185,-0.0660143873849006
std MFCCon_5,0.0962771657111258,0.0826086008732088,-0.0533890898863237,-0.1694872530891643
std MFCCon_6,0.1256765877432651,0.08750045474209,-0.0243612387307859,-0.099601323642987
std MFCCon_8,0.0986465697434914,0.0741540385946527,0.0567912666352554,-0.0532303250690995
std MFCCon_10,0.1002852055196751,0.0918387656687482,0.0089951954597885,-0.0767983184188321
std DMFCCon_2,0.1568070998914837,0.113808375372637,0.0752484230589372,-0.0460522238438564
std DMFCCon_3,0.2919327478425979,0.264026508304822,0.1212548377375812,0.0027452564326991
std DMFCCon_4,0.212736761456221,0.1570290001515449,0.0333191258206976,-0.1197821796643274
std DMFCCon_5,0.1139555447973968,0.0991627867685553,-0.0339282267824732,-0.166996887597265
std DMFCCon_6,0.1417347788869816,0.1075252407314707,-0.0368970871686515,-0.1433970396026449
std DMFCCon_7,0.0626999575181277,0.1446020914231733,0.0151502349674088,-0.0963436777702511
std DMFCCon_8,0.0944559606480908,0.1182887212280716,0.0574694899014241,-0.0975859729288574
std DMFCCon_10,0.0873683662573961,0.1001346992373557,0.0096882917638284,-0.0967960514944718
std DMFCCon_11,0.0712711894346955,0.0797134263628744,0.0198312325438601,-0.1389027441260399
std DMFCCon_12,0.0279828408656049,0.0608366097274112,0.0425732087657331,-0.0839626751687845
std DDMFCCon_2,0.1803042161084483,0.127806488633991,0.0879619059706978,-0.0442082183373219
std DDMFCCon_3,0.2650994275835583,0.250760978163176,0.123006689952058,-0.0223187978065162
std DDMFCCon_4,0.2317649628911526,0.1747566959569725,0.0430895788423459,-0.1228622178325049
std DDMFCCon_5,0.1175828364590992,0.1237471267028077,-0.0351709271411108,-0.1469112362376246
std DDMFCCon_6,0.1410976091639621,0.1226286137377302,-0.0419185923304491,-0.1526223181687761
std DDMFCCon_7,0.0606368584120648,0.1104890259965243,0.000664682853992,-0.1054072904337645
std DDMFCCon_8,0.0887152585040283,0.1238353697044565,0.0686804891729155,-0.1163954229165224
std DDMFCCon_10,0.078164836476058,0.101288110154016,0.0056806545877465,-0.1113161038474237
std DDMFCCon_11,0.0814810209303146,0.0750653989650602,0.0277968770480226,-0.1485190752699837
std DDMFCCon_12,0.0299448410724533,0.0577621027243959,0.0360212295641171,-0.1017887302929297
std BBEoff_1,-0.1734385473177725,0.0071250677002118,0.013924076726079,0.0388675523497109
std MFCCoff_2,0.1621057145902994,0.12349073229661,0.1137845523482874,0.0066810195822785
std DMFCCoff_2,0.172881401219535,0.1061943959009217,0.1274017792102607,-0.0660769993460844
std DMFCCoff_3,0.1422461066408861,0.1593470655320244,0.1524582037738598,-0.0058934008607271
std DMFCCoff_4,0.1266677765647202,0.0769358043473658,0.0185083476739189,-0.0967918035014768
std DMFCCoff_5,0.0003828302013646,0.1716692763311211,0.0587439507000742,-0.0380307969578741
std DMFCCoff_6,0.0340071820315637,0.0440922071574976,-0.0313583773409621,-0.0874769582526137
std DMFCCoff_7,0.0722840179819142,0.1501814227824284,0.0014295149818615,-0.0531311795798687
std DDMFCCoff_1,0.2135269016375483,0.1980195588592359,0.1536581638372298,0.0374973509995918
std DDMFCCoff_2,0.1611475618696366,0.1283505633372861,0.1253560978238332,-0.0975782110802328
std DDMFCCoff_3,0.2015375154568167,0.1778141956988302,0.1381014233642341,-0.0105484060603
std DDMFCCoff_4,0.1514771064428943,0.1044022374486771,0.0077716062192901,-0.1328524444353592
std DDMFCCoff_5,0.0121562330943387,0.182097938707131,0.0481084816448109,-0.0794494023851919
std DDMFCCoff_6,0.0404148778252665,0.0820395579386764,-0.016953170374073,-0.1183021620840138
std DDMFCCoff_7,0.0727585009508299,0.1811570388129079,-0.0108145720641733,-0.0767454134944436
