Feature,15_33,34_45,45_56,57_85
global avg avg NAQ,0.2901884988823968,0.1957861210726246,0.2206278366034695,0.2476006916307945
global avg std NAQ,0.3635821898488079,0.1816287800238598,0.1683650684328814,0.1702179467641187
global avg avg QOQ,0.180218294579673,0.0692000126249084,0.175925652738639,0.2023979747953049
global avg avg H1H2,-0.2901035810567665,-0.1077523372267615,-0.0342026838168174,-0.0055813351073718
global avg std H1H2,-0.2730462831108687,-0.2804234898186894,-0.1787112011753207,-0.1893237244937262
global avg std HRF,0.4099058485683118,0.2444634145792627,0.210764574304032,0.1985014107521584
global std avg NAQ,0.3466711351119365,0.2323581129283172,0.2382692365024226,0.2229014409957458
global std std NAQ,0.2257061102181944,0.1628660815924494,0.1291162916013337,0.1249150172638795
global std std QOQ,0.3193887976787536,0.1793722536435841,0.2000108244142934,0.1740463484701389
global std avg H1H2,-0.3797205429943222,-0.2308739196767155,-0.0632960712073444,-0.0693768975264764
global std std HRF,0.3614373562401672,0.2228984349577557,0.180471182352467,0.1975097465199012
