Feature,English,French
global avg avg NAQ,0.0127016449958746,0.3272235354911331
global avg std NAQ,0.0058059893461259,0.3120963653826388
global avg avg QOQ,-0.1804680211340512,0.2656973335713354
global avg std QOQ,-0.1134746886633758,0.227363427325482
global avg std HRF,0.1506401741799964,0.3233584406844559
global std avg QOQ,-0.1113024375813633,0.0757169443124683
global std std QOQ,-0.0136368141917089,0.3080324694761726
global std std H1H2,0.0065910241561066,-0.2767958218941476
global std avg HRF,0.1073762892412723,0.2468012998511673
global std std HRF,0.1293746934761083,0.2894173266145173
