Feature,15_33,34_45,45_56,57_85
avg DDF0,0.1062458615129031,-0.0022303320162336,-0.0783071961988717,-0.0373219191333569
avg Shimmer,0.0322108740997364,0.1974463093239664,0.0271805346503177,-0.0043577449108764
avg apq,-0.1905024966877245,-0.0088598221616818,0.0676254046743103,0.1099731733180174
avg logE,0.1459693860339516,0.1501965970243563,0.0244194251063497,0.01185709198508
std DF0,0.3523775479258281,0.2814119839894037,0.1512359365944535,0.1509805758711885
std DDF0,0.3686098517139305,0.2811596803009701,0.1565432879736767,0.1443416248218665
std Jitter,0.2197972502130564,0.1635549914352724,0.0036913974632728,-0.045909235828908
std Shimmer,0.0272776443865554,0.1871255544572688,0.0226654262889672,-0.0201302513261388
std apq,-0.1251302761247563,0.0183789648628624,0.0882808647780985,0.1613940179293621
std ppq,0.2236657673241176,0.2223921838742156,0.0739899667660855,-0.0048976719033389
std logE,-0.022853271542745,0.0105917798613525,0.0416681454294666,0.1693017734488544
