Feature,English,French
avg DF0,0.0559398595593477,-0.2450571283070814
avg Jitter,-0.0015247729316836,0.2046583157483792
avg Shimmer,-0.069677209755225,0.1052788039716753
avg ppq,0.2166976260798619,-0.0216000919639869
avg logE,-0.0707471810383779,0.1603378622799365
std DF0,0.3065865310470432,0.2067202380706432
std DDF0,0.3366366479191477,0.203314129528648
std Jitter,0.3180228669072729,0.002191661625415
std apq,-0.0798551294581662,0.0724612400159991
std ppq,0.4727093467423977,0.0156220603210289
std logE,-0.0422483577100746,0.0822867289684484
