Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
F0avg,-0.0654408254665447,0.1404148115983584,0.1675476356490434,0.2495584717067
F0std,0.0041248044434997,0.1261072577286874,0.2234977380264171,0.2481254846587179
F0tiltavg,0.1294172437074576,-0.2304793557604778,-0.1361034248777627,-0.1021016587007804
F0mseavg,-0.0361463045648515,0.1494044795333667,0.2599426489714023,0.3199280826413309
F0tiltstd,0.032819317241685,0.212480043000802,0.2165093781600089,0.2319774299438736
F0msestd,0.0055644633467272,0.0708404476885871,0.1835195981542878,0.2433730425181819
lastF0avg,-0.0036432859555266,0.0845771347614708,0.2221525011244336,0.2878766401459975
stdEvoiced,0.0345131463803976,0.1322161374731529,0.2525841772743604,0.1607110365247463
avgmseEvoiced,0.0047523039707251,-0.0312660391898087,0.1335446953698955,0.108249564677544
std1Evoiced,0.0127998676816025,0.2588583442923799,0.2369977520040271,0.0977900465830852
avgdurvoiced,-0.1042689683844575,-0.0440848725123337,0.0819961073158956,0.0246685449505385
stddurvoiced,-0.0809766029713846,0.0173024524557554,0.1343240890540002,0.0197167561017198
avgdurunvoiced,0.1236363636363692,0.0036796536796595,-0.1231337767923051,-0.1287878787878705
UVU,0.1362646774291834,0.0299647989728284,-0.1460963891099054,-0.0900071555156518
VVU,-0.1362646774291821,-0.0299647989728283,0.1460963891099059,0.0900071555156516
