Feature,15_32,33_46,47_59,60_88
avg BBEon_15,-0.0191242367799909,0.0294724786444977,0.2258237969538328,0.2789668455119301
avg BBEon_16,-0.2210362047646927,-0.2326817387675856,0.0005191137769544,0.0456030929588929
avg BBEon_17,-0.0418864960524889,0.0565239404232506,0.1844691143558954,0.2106420323977977
avg BBEon_20,-0.3574549853989236,-0.2918185841913559,-0.1221354615807593,-0.1388408916762263
avg MFCCon_1,0.27167607348089,0.2244709684746368,0.1047218015777549,0.056943815973432
avg MFCCon_6,-0.0888722595717705,-0.0973244302158491,0.0777905840691751,0.2166486075895328
avg DMFCCon_4,-0.1075625400131254,-0.1152713238955009,-0.1928023413172135,-0.2378385934475711
avg DDMFCCon_8,-0.3125589295785543,-0.2539417168890671,-0.2337211972796539,-0.0900835394235738
avg BBEoff_20,-0.4324800223022644,-0.2884989378199007,-0.1722474606369975,-0.185187203348942
avg MFCCoff_2,-0.5071563214533586,-0.4626982895011914,-0.3200505304650228,-0.3183513356516598
avg DF2,-0.1451189081098718,-0.0833137432348529,0.0215230111694503,0.1342341097138439
std DMFCCon_2,-0.0676850496617203,-0.1348840037252378,-0.2685819663872643,-0.3722499241894165
std DMFCCon_3,-0.3876678077356252,-0.375069389942691,-0.4918470584619261,-0.6212799721558773
std DMFCCon_9,0.1137568526933633,0.0870239819691326,-0.1240146455384162,-0.1693205809538432
std DDMFCCon_2,-0.0206506328035758,-0.1231800526296248,-0.2541395998010012,-0.3873165731258465
std DDMFCCon_3,-0.3568866098524031,-0.3153477423525735,-0.4391918251106385,-0.6203406239295837
std DDMFCCon_5,0.0722153534416325,0.0438615770855678,-0.0995434398145886,-0.2031606382676618
std DDMFCCon_7,0.0508711210214518,0.0752776015802891,-0.1225198674421285,-0.2356487839474797
std DDMFCCon_9,0.1351433803266788,0.1151551060904676,-0.100967894893719,-0.1872271273328805
std MFCCoff_2,-0.163968288664055,-0.14290238569145,-0.3444231775932106,-0.4282892247721134
std DMFCCoff_2,-0.1473215912853472,-0.1293948262370844,-0.3299829613150529,-0.4467945560329543
std DDMFCCoff_2,-0.1409535699490269,-0.165322935840421,-0.3008321519524835,-0.4299010183498769
std F1,0.0491059048901328,-0.0075427726087945,0.1294074746764321,0.2654235965081962
