Feature,15_32,33_46,47_59,60_88
F0std,-0.7695082994211079,-0.6457505790106307,-0.6064126408237915,-0.502472659712448
F0tiltavg,0.3463175420305128,0.2463416286163818,0.0894665820326215,-0.0089413012699311
F0mseavg,-0.6686214837896961,-0.660669822713857,-0.580964283726936,-0.5064353986761856
F0msestd,-0.632858679925892,-0.5820692450794408,-0.5237687614330215,-0.4124649007120239
1F0std,-0.2715209986941252,-0.2185703980334465,-0.1453674442873011,-0.1012226055020057
lastF0std,-0.3081316581209086,-0.2655749737162649,-0.2708656386522313,-0.1240630039842399
avgtiltEvoiced,0.4784862394003499,0.5504962699579822,0.56221382966353,0.6437733559402103
std1Evoiced,-0.1976845054622198,-0.289378383595714,-0.171897282328191,-0.1721205005340277
avglastEvoiced,-0.3597896407537003,-0.264495680617225,-0.2307812637698331,-0.0714736051252065
stdlastEvoiced,-0.312235645298153,-0.3163345965519474,-0.2246749338157049,-0.020615753389914
avgEunvoiced,-0.0932182692965418,-0.104121541298561,-0.0308966365977492,0.1070181149564478
stdEunvoiced,0.1198894849313714,-0.0170465434872359,-0.1224892920315705,-0.2254194433259921
stdtiltEunvoiced,-0.085644932765618,-0.2172107770813977,-0.367348768364764,-0.346540068648304
avgmseEunvoiced,0.1410207597174831,0.0161650702652668,-0.1028500015378508,-0.1968971768054676
stdmseEunvoiced,0.0626890839300304,-0.081647524258871,-0.1149300106868679,-0.249505597662522
avgdurvoiced,-0.2479691202742511,-0.1399278949645166,-0.0245999135867328,0.1556350662089002
stddurvoiced,-0.3022839378526464,-0.1584640194434304,-0.0677557651737599,0.2142605912165786
stddurpause,-0.0338546586777689,0.0499673946381211,0.0758175357632278,0.2377049795635599
UVU,0.298636253449196,0.235891432295887,0.1494822226692481,-0.0688518116653694
VVU,-0.2986362534491925,-0.2358914322958881,-0.149482222669245,0.0688518116653692
