Feature,Not native,Native
F0tiltavg,0.3992563833909052,0.1438782268745723
stdEvoiced,-0.1624573034574044,-0.4130308515048041
stdtiltEvoiced,-0.5803581279815557,-0.3637765928942494
avgmseEvoiced,-0.0013810244571505,-0.2889721598889769
stdlastEunvoiced,-0.2856312263013921,-0.0305764646676395
avgdurunvoiced,-0.007211590948075,0.2686147186147186
PU,0.2864155555784043,-0.0056513413002528
UVU,-0.0442993530248084,0.1776808535347087
VVU,0.0442993530248101,-0.1776808535347064
UP,-0.2697492381109944,0.0057825353384542
