Feature,English,French
F0avg,-0.9529148985818676,-0.906735005550708
F0tiltavg,0.2129432449244109,0.0926459521611408
F0mseavg,-0.6630120207929333,-0.5425024925228072
F0tiltstd,-0.5575372235094089,-0.3586657930223649
lastF0avg,-0.6168289786789021,-0.554507130263173
avgEvoiced,-0.2436587141157869,-0.0607808925967718
stdEvoiced,-0.4381733214053074,-0.3035819767636563
avgtiltEvoiced,0.6054537332773328,0.4801459372655707
stdtiltEvoiced,-0.4728137829884368,-0.2312069406117928
avg1Evoiced,0.3198001968032505,-0.0986262959670133
std1Evoiced,-0.261609327149605,0.0381235685842408
avglastEvoiced,-0.4189316435638457,0.0745185815566753
stdlastEvoiced,-0.3725397028034637,0.1800714141385284
avgEunvoiced,-0.1493428685987839,0.2080038855954022
stdEunvoiced,0.0108717102722524,-0.273019981636108
avgtiltEunvoiced,-0.2377458525262189,-0.0688647798883475
avgmseEunvoiced,0.0369123769893715,-0.2076906972930631
stdmseEunvoiced,-0.0486032701303836,-0.2283723406638017
std1Eunvoiced,-0.1502722116449985,0.0030602503623352
stdlastEunvoiced,-0.0008576738661343,-0.192855842826045
stddurvoiced,-0.2646907166747106,0.2092694273991753
stddurunvoiced,-0.1947019505440243,-0.0668987770854901
avgdurpause,0.0592542612428477,0.3311586948497727
stddurpause,-0.0479425577783691,0.3066819554167851
PVU,0.0630712135650272,0.2434243656551186
PU,-0.0621053372805833,0.2208384072229446
UP,0.0646266622439002,-0.2117747826091874
